XZangleToObj,YZangleToObj,DistToObjhorizontalPan,forwardPan,xRotInput,yRotInput,sprintButtonDown,fireButtonDown,jumpButtonDown
19.2094,-5.166646,12.6436|-1,0,0,0,1,0,0
17.54919,-5.152938,12.47763|-1,0.107433,0,0,1,0,0
15.92854,-5.125565,12.28431|-1,0.215469,0.05,0.25,1,0,0
15.39481,-4.861356,12.0521|-1,0.350616,0,0,1,0,0
13.93188,-4.801712,11.79259|-1,0.483063,0,0,1,0,0
12.52522,-4.728452,11.513|-1,0.603519,0,0,1,0,0
11.16876,-4.642031,11.21699|-1,0.7233989,0,0,1,0,0
9.186755,-4.489866,10.75257|-1,0.854964,0,0,1,0,0
7.885705,-4.373406,10.43294|0,0.722676,-0.05,-0.15,1,0,0
6.073541,-4.444353,10.09701|0.1179001,0.6047759,-0.3,-1.15,1,0,0
0.4284154,-5.504489,9.740231|0.2403751,0.4823009,-0.3,-1.25,1,0,0
-4.760081,-6.488274,9.341461|0.3682051,0.3544709,-0.05,-1.1,1,0,0
-4.909516,-6.453425,8.915|0.609093,0.113583,0.3,-3.1,1,0,0
-13.55809,-5.030378,8.755238|0.782199,0,0,-0.05,1,1,0
-11.18931,-5.025781,8.66882|0.944529,0,0,0,1,0,0
-8.574186,-5.025819,8.600153|1,0,0,0,1,0,0
-7.252281,-5.025781,8.572615|1,0,0,0,1,0,0
-0.5535544,-5.025858,8.504432|1,0,0,0,1,0,0
3.484308,-5.025819,8.519786|1,0,0,0,1,0,0
6.159757,-5.025781,8.55342|1,0,0,0,1,0,0
7.488206,-5.025781,8.577185|1,0,0,0,1,0,0
10.11954,-5.025819,8.638425|1,0,0,0,1,0,0
12.70852,-5.025819,8.717598|1,0,-0.1,-0.25,1,0,0
15.51116,-5.445969,8.858861|1,0,-0.55,-1.45,1,0,0
13.48746,-7.765311,8.979568|1,0,-0.5,-2.6,1,0,0
6.766571,-9.95647,9.128333|1,-0.165924,-0.15,-1.5,1,0,0
1.976749,-10.6163,9.179535|1,-0.2393519,0,-0.55,1,0,0
4.754604,-10.62364,9.219437|1,-0.01030791,0,-0.3,1,0,0
7.256203,-10.63118,9.275986|1,0,0,0,1,1,0
10.89788,-10.63114,9.370689|1,0,0,0,1,0,0
14.45265,-10.63118,9.502409|1,0,0.1,-1.15,1,0,0
13.37451,-10.31595,9.623255|1,0,0.35,-2.45,1,0,0
4.761274,-9.038572,9.637788|1,0,0.1,-0.65,1,0,0
4.532461,-8.651538,9.661146|1,0,0.05,-0.85,1,0,0
3.500845,-8.465429,9.67732|1,0,0.1,-1.2,1,0,0
1.068994,-8.073046,9.676517|1,0,0.1,-1.15,1,0,0
-1.161464,-7.664904,9.660138|1,0,0.15,-1.5,1,0,0
-4.797099,-7.02881,9.61846|1,0,0.05,-0.55,1,0,0
-2.229673,-6.809881,9.554057|1,0,0,-0.35,1,0,0
1.172531,6.803945,9.53689|1,0,0,-0.95,1,0,0
