XZangleToObj,YZangleToObj,DistToObjhorizontalPan,forwardPan,xRotInput,yRotInput,sprintButtonDown,fireButtonDown
104.7963,-137.1164,3.912269|0,0.690232,0,0,0,0
104.7963,-137.0833,3.912269|0,0,0,0,0,0
103.3688,-133.3099,3.887978|0,-0.07505107,0,0,0,0
100.4642,-121.6613,3.84674|0,-0.198324,0,0,0,0
90.80786,-86.54352,3.80381|0,-0.3965521,-1.45,-1.3,0,0
84.99097,-67.64414,3.806262|0,-0.479121,-0.5,-0.7,0,0
81.69247,-56.52657,3.816278|0,-0.5568121,-0.25,-0.45,0,0
71.54088,-32.21461,3.850212|0,-0.6687421,-0.45,-1.8,0,0
54.54622,-11.89234,3.944741|0.1174289,-0.786171,-0.4,-3.6,0,0
38.40623,-4.559692,4.020415|0.208344,-0.8770861,-0.15,-3.8,0,0
-9.633617,4.03551,4.405646|0.4113899,-1,0.45,-11.65,0,0
-20.50368,5.919934,4.487995|0.470271,-1,0.15,-2.9,0,0
-31.34875,8.239476,4.553771|0.5493209,-1,0.2,-2.95,0,0
-37.92325,11.04373,4.644084|0.6466529,-1,0.2,-2.2,0,0
-41.93725,14.01415,4.671038|0.7539539,-1,0.25,-1.3,0,0
-42.51474,16.13971,4.700206|0.865605,-1,0.15,-0.75,0,0
-39.65227,13.30116,4.690545|1,-0.805336,0,-0.2,0,0
-38.42978,12.03819,4.686355|1,-0.7436711,0,0,0,0
-35.98344,10.772,4.672951|1,-0.6583812,0,0,0,0
-33.53773,8.322701,4.650473|1,-0.5384651,0,0,0,0
-32.31738,7.088726,4.634798|1,-0.4431131,0,0,0,0
-29.88518,6.614468,4.593141|1,-0.3456342,0,0,0,0
-25.36621,10.10501,4.407762|1,0,-0.05,0,0,0
-24.82053,9.682899,4.359472|1,0.07209009,-0.2,-0.15,0,0
-23.02609,11.37264,4.245932|1,0.192861,-0.1,-0.1,0,0
-22.14478,12.01506,4.185279|1,0.2663911,-0.1,-0.05,0,0
-20.24647,12.36139,4.053887|1,0.3648121,-0.05,-0.05,0,0
-19.21643,11.73799,3.984744|1,0.4473242,0,0,0,0
-16.29313,9.976222,3.635475|0.746032,0.7012922,0,0,0,1
97.17353,105.2856,2.469312|0.6787211,0.6339812,0,0,0,0
99.91743,123.1735,2.633824|0.60052,0.5557802,-0.1,0.05,0,0
101.252,127.3756,2.718439|0.5063081,0.4615683,-0.5,0.05,0,0
103.2672,126.1943,2.892041|0.4111541,0.3664142,-0.05,0,0,0
102.4127,116.2149,3.086467|0.292594,0,0,0,0,0
95.08853,88.6168,3.138921|0.06617212,-0.2264219,0,0,0,0
93.26093,81.53326,3.131659|0,-0.309261,0,0,0,0
91.22667,75.76563,3.127581|0,-0.370854,0,-0.05,0,0
85.55365,64.72379,3.129704|0,-0.4874489,0,-0.5,0,0
64.31209,29.66466,3.193852|0.140076,-0.627525,0.2,-4.45,0,0
5.458477,7.832958,3.556273|0.337359,-0.4302421,0.75,-14,0,0
-6.295257,6.435199,3.63169|0.396507,-0.371094,0.1,-3.2,0,0
-16.46052,6.629275,3.672483|0.488787,-0.278814,0.2,-2.9,0,0
-14.74083,8.400482,3.681574|0.583509,-0.184092,0.05,-0.35,0,0
-13.18373,10.05639,3.67465|0.652695,-0.114906,0,0,0,0
-12.50618,10.1959,3.634346|0.7831051,0,-0.6,-0.6,0,0
-0.6419396,7.548707,3.522095|0.9882991,0.205194,-1.65,1.85,0,0
0.9414921,9.452802,3.497053|1,0.26202,0,0,0,0
4.112708,10.33272,3.439479|1,0.34998,0,0,0,0
7.302105,7.235652,3.374773|1,0.4582888,0,0,0,0
8.900421,5.715323,3.339183|1,0.5542889,0,0,0,0
12.11567,4.838129,3.262775|1,0.649815,0,0,0,0
18.20444,-0.1170339,3.042953|0.7738181,0.8759969,0,0,0,0
3.778387,0.8891146,2.98671|0.7041881,0.9456269,0.25,-4,0,0
-13.27662,-1.896098,2.905993|0.61501,1,-0.3,-4.55,0,0
-41.71125,-15.03134,2.619233|0.4710881,0.856078,0,-7.55,0,0
-48.09674,-20.01393,2.523103|0.3941621,0.7791521,0.1,-1.45,0,0
-53.69938,-40.18196,2.191|0.1732361,0.558226,0,-0.05,0,0
-55.53405,-41.93574,2.118648|0.09614509,0.4811351,0,0,0,0
-60.46383,-40.34079,2.012936|0,0.342607,0,-0.05,0,0
-63.01794,-39.27276,1.965896|0,0.283033,0,0,0,0
-68.48662,-42.618,1.884255|0,0.1846181,0,0,0,0
-76.59869,-43.14385,1.821013|0,0.07051301,-0.1,-0.55,0,0
-65.77026,-24.82873,1.533539|0.214563,0,-0.5,2.05,0,0
-62.9206,-28.34972,1.444028|0.278181,0,-0.1,0.3,0,0
-60.1699,-33.48279,1.356966|0.341052,0,-0.1,0.2,0,0
-54.68405,-40.68177,1.190504|0.4378679,0,-0.1,0.15,0,0
-46.34581,-44.17225,1.085416|0.5528489,-0.1149809,0,0,0,0
-41.2433,-47.24154,1.058639|0.6407819,-0.2029139,-0.05,0,0,0
-20.59261,-39.52887,1.154982|0.4223068,-0.421389,0,0,0,0
-16.56459,-32.5256,1.211735|0.3557609,-0.4879349,0,0,0,0
-13.38511,-26.06706,1.283786|0.2921008,-0.551595,0,0,0,0
-9.390634,-18.81864,1.457812|0.1947777,-0.6489181,0,0,0,0
-5.688064,-9.113134,1.629941|0.3081327,-0.7622731,0,0,0,0
-3.966547,-4.963924,1.715854|0.3977666,-0.851907,0,0,0,0
2.662196,-6.344059,2.050468|0.6260966,-1,0,0,0,1
100.9892,-111.1919,4.157352|0.6948747,-1,0,-0.05,0,0
98.40337,-104.8894,4.254312|0.8050616,-1,-0.05,-0.05,0,0
96.25419,-100.9723,4.372071|0.9473877,-1,-0.05,0,0,0
95.24525,-99.49752,4.435257|1,-1,0,0,0,0
91.48991,-84.91238,4.700802|0.790615,-0.790615,0,0,0,0
90.61773,-78.312,4.770121|0.7317759,-0.7317759,0,0,0,0
89.77078,-72.40932,4.840513|0.654259,-0.654259,0,0,0,0
87.94969,-58.09135,4.984334|0.5558709,-0.5558709,0.05,-0.05,0,0
84.97703,-39.31948,5.05791|0.4639359,-0.4639359,0.35,-0.55,0,0
81.76311,-21.0043,5.212602|0.3652329,-0.3652329,0.3,-0.45,0,0
75.80396,-23.60689,5.610804|0.5910098,-0.139456,0.65,-1.4,0,0
68.94443,-16.22742,5.709756|0.6593469,-0.07111883,0.2,-1.75,0,0
54.49943,-6.993894,5.803117|0.7340379,0,0,-3.7,0,0
29.61555,-3.676422,5.966945|0.8196279,0,0.2,-6.5,0,0
0.6437659,-4.226097,6.016936|0.9165488,0,0.45,-7.45,0,0
-16.85169,-6.187005,6.022474|1,0,0.35,-4.85,0,0
-18.14056,-4.199506,5.918995|0.7786659,0,0.05,-1.25,0,0
-17.21519,-3.998264,5.888642|0.7065429,0,0,0,0,0
-16.28045,-3.354388,5.859833|0.7847019,0,0,0,0,0
